amount,tx_velocity_1h,origin_balance_drain_ratio,urgency_signal,coercion_pressure_signal,authority_claim_signal,has_obfuscated_url,recipient_age_days,kyc_verified,is_masked_virtual_handle,connected_entities,elevated_risk_mule_hops,cluster_risk_score,story_mismatch_detected,is_fraud
-0.18354686002656243,1.0827526866899306,1.526037520892173,1,0,0,0,-0.6195048637793324,1,0,0.134021448469128,-0.44329472199346825,-0.7183308618537596,0,0
-0.6186819931420473,-0.24476018588009918,-0.7191822141557004,0,0,0,0,1.2533712454189876,1,0,-0.9324622263515198,-0.44329472199346825,-0.8003999177791374,0,0
0.45352864329904174,0.4189962504049157,0.48556983879681703,0,0,0,0,-0.48774473549402353,1,0,0.48951600674267726,-0.44329472199346825,-0.009552651589132438,0,0
0.07611774148399605,-0.24476018588009918,-0.22632910158421599,0,0,0,0,-0.5253904864326833,1,0,1.2005051232897757,-0.44329472199346825,0.3261843953783225,0,0
-0.6044345052793976,0.4189962504049157,-0.11680618767944173,1,1,1,1,-0.9865509354312645,0,1,1.9114942398368742,0.6040643376485122,1.6355588785513968,1,1
-0.3169237095546996,-0.9085166221651141,-0.7191822141557004,0,0,0,0,1.6123503704412065,1,0,-0.5769676680779705,-0.44329472199346825,-0.8227823875769676,0,0
-0.6093554096612023,-0.24476018588009918,-1.2120353267271848,0,0,0,0,-0.3479176605790018,1,0,-0.9324622263515198,-0.44329472199346825,-0.7369829200186182,0,0
-0.5485532381682829,-0.9085166221651141,-0.5548978432985389,1,1,1,1,-0.9986513553758337,0,1,-0.9324622263515198,-0.44329472199346825,0.03894269963949997,1,1
-0.5907184482669744,-0.9085166221651141,-0.33585201548899024,0,0,0,0,-0.6006819883100026,1,0,-0.5769676680779705,-0.44329472199346825,-0.9943813226936669,0,0
0.4861493329751549,0.4189962504049157,-0.39061347244137745,0,0,0,0,0.16298895930280838,1,0,1.555999681563325,-0.44329472199346825,0.40079262803775695,0,0
1.72970646350837,0.4189962504049157,0.5403312957492042,1,1,0,0,1.227825914424897,1,0,-0.22147310980442125,-0.44329472199346825,0.6096956794841734,0,1
-0.6249239306783588,-0.9085166221651141,-0.33585201548899024,0,0,0,0,1.7521774453562284,1,0,-0.5769676680779705,-0.44329472199346825,-0.7966695061461656,0,0
-0.6318163261638436,3.73777843182999,0.8689000374635272,1,1,1,1,-1.0147852486352593,0,1,1.2005051232897757,3.746141516574454,1.9526438673539932,0,1
-0.3211695682298021,-0.24476018588009918,-0.8834665850128618,0,0,0,0,-0.3680850271532838,1,0,-0.9324622263515198,-0.44329472199346825,-0.8003999177791374,0,0
0.7646565389429101,2.4102655592599604,2.2379364612732062,1,1,1,1,-0.9986513553758337,0,1,1.555999681563325,2.698782456932473,1.9339918091891346,1,1
-0.37034843616360963,-0.9085166221651141,-0.938228041965249,0,0,0,0,-0.5711031840010558,1,0,-0.22147310980442125,-0.44329472199346825,0.19188957659134048,1,0
0.7206343943381163,1.0827526866899306,1.6355604347969475,1,1,1,0,-0.8709247004053812,1,0,0.134021448469128,-0.44329472199346825,-0.5952272779656927,0,0
-0.6295810754793991,0.4189962504049157,-0.1715676446318288,0,1,1,1,-0.981172971011456,0,1,2.2669887981104235,0.6040643376485122,1.8854964579605022,1,1
-0.45448215430076155,-0.24476018588009918,1.2522302361302373,1,1,0,0,1.2829500497279345,1,0,-0.22147310980442125,-0.44329472199346825,1.4117341805730936,1,1
1.0031052585820628,0.4189962504049157,0.5950927527015915,0,0,0,0,0.03660679543730797,1,0,1.9114942398368742,-0.44329472199346825,-0.35648093345550247,0,0
-0.5904021602951255,-0.24476018588009918,-0.5548978432985389,0,0,0,0,1.9484731466792395,1,0,-0.5769676680779705,-0.44329472199346825,-0.7742870363483354,0,0
0.7646565389429101,3.73777843182999,2.4022208321303675,1,1,1,0,-0.9878954265362166,0,1,1.9114942398368742,3.746141516574454,1.7922361671362093,1,1
