amount,tx_velocity_1h,origin_balance_drain_ratio,urgency_signal,coercion_pressure_signal,authority_claim_signal,has_obfuscated_url,recipient_age_days,kyc_verified,is_masked_virtual_handle,connected_entities,elevated_risk_mule_hops,cluster_risk_score,story_mismatch_detected,is_fraud
-0.42928813294863616,-0.19844712981526558,-0.49026393596947526,0,0,0,0,0.9090592677397276,1,1,-0.8266062607722404,-0.5874223568598589,-0.8391364536852063,0,0
-0.39554630780449107,-0.4241475902250075,-0.06219486829139442,0,0,0,0,-0.8113738966548621,1,0,-0.33589313475725646,-0.5874223568598589,-0.719091515238401,0,0
-0.43520556638585617,-0.19844712981526558,-0.026522445984887653,0,0,0,0,0.7811988343825739,1,0,-0.5812496977647484,-0.5874223568598589,-0.6409227181102487,0,0
-0.3858235131037524,-0.19844712981526558,-0.06219486829139442,0,0,0,0,0.0040915338674289104,1,0,-0.33589313475725646,-0.5874223568598589,-0.6995493159563628,0,0
-0.4414362774428929,-0.6498480506347494,-0.8469881590345426,1,1,1,0,-1.1310249800477463,0,1,1.6269593693026794,1.3625273754550251,1.6845989964522836,1,1
-0.43280965997765924,-0.6498480506347494,-0.7042984698085157,0,0,0,0,1.6961112686270958,0,0,-0.8266062607722404,-0.5874223568598589,-0.7051328014655166,0,0
-0.40670829517972595,-0.6498480506347494,-0.8826605813410494,0,0,0,0,1.2755925100302348,1,0,-0.8266062607722404,-0.5874223568598589,-0.4678346673264827,0,0
2.0389723521917538,1.60715655346267,2.220840159325037,1,0,1,1,-1.0869841641136155,0,1,0.4001765542652195,1.3625273754550251,1.4333421485403652,1,1
-0.4168120872865199,-0.4241475902250075,-0.6686260475020089,0,0,0,0,1.6762218678826497,1,0,-0.8266062607722404,-0.5874223568598589,-0.6492979463739792,0,0
-0.40926869196725013,-0.19844712981526558,-0.3832466690499551,1,0,1,0,1.0468644014691042,1,0,-0.5812496977647484,-0.5874223568598589,-0.5404199789454813,0,0
2.9188192212808715,1.60715655346267,2.18516773701853,0,0,1,0,-1.0727774492961542,0,1,2.6083856213326473,0.7125441313500638,1.6873907392068603,1,1
-0.3308639993402696,0.02725333059447637,0.4015466216931932,1,0,0,0,1.015609628870689,1,0,-0.5812496977647484,-0.5874223568598589,-0.5962548340370187,0,0
2.077820936230611,2.284257934691896,1.4003744462753818,1,0,0,0,-1.1026115504128233,0,1,1.6269593693026794,0.06256088724510249,1.6566815689065149,1,1
-0.4209624268813843,-0.19844712981526558,-0.8826605813410494,0,0,0,0,1.6165536656493114,1,0,-0.5812496977647484,-0.5874223568598589,-0.7386337145204391,0,0
0.8894617610944292,2.284257934691896,2.399202270857571,0,1,1,0,-1.099770207449331,0,1,0.6455331172727115,2.0125106195599867,1.718099909507206,0,1
-0.2513857027398635,-0.19844712981526558,-0.026522445984887653,1,0,0,0,-0.5627563873492857,1,0,-0.5812496977647484,-0.5874223568598589,-0.5822961202641344,0,0
-0.3655593975903479,0.02725333059447637,-0.2405569798239281,1,0,0,0,1.8694331894001264,1,0,-0.5812496977647484,-0.5874223568598589,-0.6520896891285561,0,0
3.449784940155323,3.4127602367406054,1.4003744462753818,0,1,0,1,-1.099770207449331,1,0,0.6455331172727115,1.3625273754550251,1.6818072536977065,1,1
